faction,gen,unit,unknown,unknown,prize,attack,factionunits,damage,ap,bonusInf,bonusCav,defense,morale,charge,armour,unitclass,health
rom_carthage,False,Mer_Ita_Sword,True,True,400,34,1,35,5,0,0,45,45,10,60,inf_mel,50
rom_carthage,False,Mer_Num_Cav,True,True,550,18,1,24,4,0,0,39,55,10,15,cav_mis,75
rom_carthage,False,Mer_Num_Noble_Cav,True,True,1180,65,1,38,8,0,0,44,70,30,45,cav_mis,90
rom_ptolemaics,False,Afr_Elephants,True,True,1400,54,2,60,30,0,0,21,55,24,30,elph,200
rom_ptolemaics,False,Afr_War_Elephants,True,True,1600,64,2,60,30,0,0,24,65,44,30,elph,200
rom_ptolemaics,True,Afr_War_Elephants,True,True,1600,64,2,60,30,0,0,24,65,44,30,elph,200
rom_ptolemaics,False,Ara_Camel_Archers,True,True,450,8,2,24,4,0,0,12,25,3,10,cav_mis,85
rom_ptolemaics,False,Ara_Camel_Spear,True,True,420,28,2,25,5,0,15,50,25,25,15,cav_mel,85
rom_ptolemaics,False,Egy_Archers,True,True,280,8,2,24,4,0,0,12,25,3,10,inf_mis,45
rom_ptolemaics,False,Egy_Cav,True,True,420,37,2,25,5,0,15,31,40,29,50,cav_mel,70
rom_ptolemaics,False,Egy_Galatian_Royal_Guard,True,True,1380,50,2,45,5,0,0,69,70,32,75,inf_mel,65
rom_ptolemaics,False,Egy_Galatian_Sword,True,True,470,32,2,40,4,0,0,52,50,28,35,inf_mel,50
rom_ptolemaics,False,Egy_Infantry,True,True,200,14,2,24,4,0,0,39,30,8,55,inf_mel,45
rom_ptolemaics,False,Egy_Javelinmen,True,True,340,8,2,24,4,0,0,37,25,3,15,inf_mis,45
rom_ptolemaics,False,Egy_Karian_Axemen,True,True,400,28,2,26,10,0,0,37,40,14,45,inf_mel,55
rom_ptolemaics,True,Egy_Karian_Axemen,True,True,400,28,2,26,10,0,0,37,40,14,45,inf_mel,55
rom_ptolemaics,False,Egy_Nubian_Bowmen,True,True,330,9,2,24,4,0,0,13,35,4,10,inf_mis,50
rom_ptolemaics,False,Egy_Nubian_Spear,True,True,380,25,2,25,5,0,20,53,50,24,45,inf_spr,55
rom_ptolemaics,False,Egy_Pike,True,True,430,30,2,20,4,0,0,20,30,4,50,inf_pik,50
rom_ptolemaics,False,Egy_Slingers,True,True,270,8,2,24,4,0,0,22,25,3,20,inf_mis,45
rom_ptolemaics,False,Egy_Sobek_Cultists,True,True,550,36,2,38,8,0,0,61,60,22,55,inf_mel,55
rom_ptolemaics,False,Gre_Ballista,True,False,1560,9,2,24,4,0,0,14,40,6,10,art_fld,45
rom_ptolemaics,False,Gre_Cheiroballistra,True,True,520,9,2,24,4,0,0,14,35,6,10,art_fld,45
rom_ptolemaics,False,Gre_Citizen_Cav,True,True,540,37,2,26,6,0,10,28,45,28,70,cav_mel,75
rom_ptolemaics,False,Gre_Giant_Ballista,True,False,730,9,2,24,4,0,0,14,40,6,10,art_fix,45
rom_ptolemaics,False,Gre_Large_Onager,True,False,1790,9,2,24,4,0,0,14,40,6,10,art_fld,45
rom_ptolemaics,False,Gre_Levy_Thureos_Spears,True,True,380,19,2,25,5,0,20,47,40,21,45,inf_spr,45
rom_ptolemaics,False,Gre_Light_Cav,True,True,440,38,2,25,5,0,15,50,40,29,35,cav_mel,75
rom_ptolemaics,False,Gre_Light_Peltasts,True,True,460,18,2,24,4,0,0,40,50,10,40,inf_mis,50
rom_ptolemaics,False,Gre_Onager,True,False,1580,9,2,24,4,0,0,14,40,6,10,art_fld,45
rom_ptolemaics,False,Gre_Peltasts,True,True,420,18,2,24,4,0,0,40,35,10,65,inf_mis,50
rom_ptolemaics,False,Gre_Pike,True,True,600,34,2,24,4,0,0,30,45,7,65,inf_pik,55
rom_ptolemaics,False,Gre_Ptolemaic_Cav,True,True,1320,55,2,25,11,0,10,22,70,63,60,cav_shk,100
rom_ptolemaics,True,Gre_Ptolemaic_Cav,True,True,1320,55,2,25,11,0,10,22,70,63,60,cav_shk,100
rom_ptolemaics,False,Gre_Royal_Guard,True,True,1260,47,2,28,4,0,0,45,70,13,90,inf_pik,60
rom_ptolemaics,True,Gre_Royal_Guard,True,True,1260,47,2,28,4,0,0,45,70,13,90,inf_pik,60
rom_ptolemaics,False,Gre_Royal_Peltasts,True,True,1280,62,2,38,8,0,0,49,70,21,80,inf_mel,60
rom_ptolemaics,True,Gre_Royal_Peltasts,True,True,1280,62,2,38,8,0,0,49,70,21,80,inf_mel,60
rom_ptolemaics,False,Gre_Royal_Thorax_Sword,True,True,1270,46,2,40,4,0,0,64,70,27,80,inf_mel,65
rom_ptolemaics,True,Gre_Royal_Thorax_Sword,True,True,1270,46,2,40,4,0,0,64,70,27,80,inf_mel,65
rom_ptolemaics,False,Gre_Scythed_Chariots,True,True,1380,54,2,35,5,0,0,29,65,45,90,chariot,105
rom_ptolemaics,False,Gre_Skirm_Cav,True,True,340,9,2,24,4,0,0,38,35,4,15,cav_mis,70
rom_ptolemaics,False,Gre_Tarantine_Cav,True,True,560,18,2,24,4,0,0,36,50,11,60,cav_mis,80
rom_ptolemaics,False,Gre_Thorax_Pike,True,True,740,40,2,24,4,0,0,40,55,9,70,inf_pik,55
rom_ptolemaics,False,Gre_Thorax_Sword,True,True,710,38,2,34,4,0,0,57,55,18,75,inf_mel,60
rom_ptolemaics,False,Gre_Thureos_Spears,True,True,540,24,2,25,5,0,20,55,50,26,70,inf_spr,50
rom_ptolemaics,False,Mer_Egy_Leopard_Warriors,True,True,620,30,2,25,5,0,20,55,65,30,45,inf_spr,55
rom_ptolemaics,False,Mer_Gre_Cretan_Archers,True,True,600,12,2,24,4,0,0,24,55,6,40,inf_mis,55
rom_ptolemaics,False,Mer_Gre_Rhodian_Slingers,True,True,600,12,2,24,4,0,0,24,55,6,20,inf_mis,55
rom_ptolemaics,False,Mer_Kushite_Shieldwomen,True,True,490,27,2,25,5,0,20,47,60,20,45,inf_spr,50
rom_parthia,False,Ara_Camel_Archers,True,True,450,8,3,24,4,0,0,12,25,3,10,cav_mis,85
rom_parthia,False,Ara_Camel_Spear,True,True,420,28,3,25,5,0,15,50,25,25,15,cav_mel,85
rom_parthia,False,Eas_Armour_Horse_Archers,True,True,640,36,3,24,4,0,0,13,45,14,40,cav_mis,80
rom_parthia,False,Eas_Ballista,True,False,1560,9,3,24,4,0,0,14,35,6,10,art_fld,45
rom_parthia,False,Eas_Camel_Cataphracts,True,True,1160,44,3,25,11,0,10,19,65,71,90,cav_shk,100
rom_parthia,False,Eas_Cataphracts,True,True,1060,40,3,25,11,0,10,17,60,67,90,cav_shk,115
rom_parthia,False,Eas_Cheiroballistra,True,True,520,9,3,24,4,0,0,14,35,6,10,art_fld,45
rom_parthia,False,Eas_Elite_Persian_Archers,True,True,530,28,3,20,5,0,30,32,40,18,10,inf_mis,50
rom_parthia,False,Eas_Giant_Ballista,True,False,730,9,3,24,4,0,0,14,35,6,10,art_fix,45
rom_parthia,False,Eas_Hillmen,True,True,220,25,3,26,10,0,0,36,35,12,15,inf_mel,45
rom_parthia,False,Eas_Horse_Skirm,True,True,390,9,3,24,4,0,0,38,30,4,15,cav_mis,70
rom_parthia,False,Eas_Javelinmen,True,True,370,8,3,24,4,0,0,37,20,3,15,inf_mis,45
rom_parthia,False,Eas_Large_Onager,True,False,1780,9,3,24,4,0,0,14,35,7,10,art_fld,45
rom_parthia,False,Eas_Median_Cav,True,True,620,40,3,25,5,0,15,35,50,34,70,cav_mel,80
rom_parthia,False,Eas_Noble_Blood_Cav,True,True,750,46,3,25,5,0,15,35,55,34,70,cav_mel,90
rom_parthia,False,Eas_Noble_Horse_Archers,True,True,880,39,3,34,4,0,0,19,55,22,90,cav_mis,95
rom_parthia,True,Eas_Noble_Horse_Archers,True,True,880,39,3,34,4,0,0,19,55,22,90,cav_mis,95
rom_parthia,False,Eas_Onager,True,False,1580,9,3,24,4,0,0,14,35,6,10,art_fld,45
rom_parthia,False,Eas_Par_Sword,True,True,730,36,3,34,4,0,0,59,60,19,75,inf_mel,55
rom_parthia,False,Eas_Parthian_Foot_Archers,True,True,400,9,3,24,4,0,0,13,30,4,10,inf_mis,50
rom_parthia,False,Eas_Parthian_Horse_Archers,True,True,430,10,3,24,4,0,0,13,40,4,10,cav_mis,75
rom_parthia,False,Eas_Persian_Hoplites,True,True,440,22,3,25,5,0,20,49,40,20,75,inf_spr,50
rom_parthia,False,Eas_Persian_Light_Archers,True,True,360,9,3,24,4,0,0,13,30,4,10,inf_mis,50
rom_parthia,False,Eas_Royal_Cataphracts,True,True,1450,50,3,27,12,0,10,23,65,76,110,cav_shk,120
rom_parthia,True,Eas_Royal_Cataphracts,True,True,1450,50,3,27,12,0,10,23,65,76,110,cav_shk,120
rom_parthia,False,Eas_Scorpion_Pot_Ballista,True,False,1560,9,3,24,4,0,0,14,35,6,10,art_fld,45
rom_parthia,False,Eas_Slingers,True,True,380,8,3,24,4,0,0,37,20,3,15,inf_mis,45
rom_parthia,False,Eas_Spear,True,True,180,13,3,25,5,0,20,34,25,11,45,inf_spr,45
rom_parthia,False,Ind_War_Elephants,True,True,1500,34,3,60,30,0,0,20,40,28,30,elph,200
rom_parthia,False,Mer_Gre_Hoplites,True,True,650,34,3,26,6,0,15,57,55,21,75,inf_spr,60
rom_parthia,False,Mer_Gre_Peltasts,True,True,420,18,3,24,4,0,0,40,35,10,65,inf_mis,50
rom_parthia,False,Mer_Sar_Horse_Archers,True,True,360,9,3,24,4,0,0,13,30,4,10,cav_mis,70
rom_parthia,False,Mer_Sar_Lancers,True,True,340,34,3,25,11,0,10,16,35,51,10,cav_shk,70
rom_seleucid,False,Ara_Camel_Archers,True,True,450,8,4,24,4,0,0,12,25,3,10,cav_mis,85
rom_seleucid,False,Ara_Camel_Spear,True,True,420,28,4,25,5,0,15,50,25,25,15,cav_mel,85
rom_seleucid,False,Eas_Azat_Knights,True,True,1300,51,4,29,5,0,15,55,60,40,70,cav_mel,105
rom_seleucid,False,Eas_Hillmen,True,True,220,25,4,26,10,0,0,36,35,12,15,inf_mel,45
rom_seleucid,False,Eas_Horse_Skirm,True,True,390,9,4,24,4,0,0,38,30,4,15,cav_mis,70
rom_seleucid,False,Eas_Javelinmen,True,True,370,8,4,24,4,0,0,37,20,3,15,inf_mis,45
rom_seleucid,False,Eas_Median_Cav,True,True,620,40,4,25,5,0,15,35,50,34,70,cav_mel,80
rom_seleucid,False,Eas_Persian_Hoplites,True,True,440,22,4,25,5,0,20,49,40,20,75,inf_spr,50
rom_seleucid,False,Eas_Persian_Light_Archers,True,True,360,9,4,24,4,0,0,13,30,4,10,inf_mis,50
rom_seleucid,False,Eas_Slingers,True,True,380,8,4,24,4,0,0,37,20,3,15,inf_mis,45
rom_seleucid,False,Eas_Syrian_Heavy_Archers,True,True,520,10,4,24,4,0,0,13,40,4,40,inf_mis,50
rom_seleucid,False,Gre_Agema_Cav,True,True,1300,46,4,27,12,0,10,21,70,76,70,cav_shk,100
rom_seleucid,True,Gre_Agema_Cav,True,True,1300,46,4,27,12,0,10,21,70,76,70,cav_shk,100
rom_seleucid,False,Gre_Archers,True,True,250,8,4,24,4,0,0,12,25,3,10,inf_mis,45
rom_seleucid,False,Gre_Ballista,True,False,1560,9,4,24,4,0,0,14,40,6,10,art_fld,45
rom_seleucid,False,Gre_Cheiroballistra,True,True,520,9,4,24,4,0,0,14,35,6,10,art_fld,45
rom_seleucid,False,Gre_Citizen_Cav,True,True,540,37,4,26,6,0,10,28,45,28,70,cav_mel,75
rom_seleucid,False,Gre_Giant_Ballista,True,False,730,9,4,24,4,0,0,14,40,6,10,art_fix,45
rom_seleucid,False,Gre_Hellenic_Cataphracts,True,True,1420,46,4,27,12,0,10,23,70,76,90,cav_shk,120
rom_seleucid,True,Gre_Hellenic_Cataphracts,True,True,1420,46,4,27,12,0,10,23,70,76,90,cav_shk,120
rom_seleucid,False,Gre_Javelinmen,True,True,220,8,4,24,4,0,0,37,25,3,15,inf_mis,45
rom_seleucid,False,Gre_Large_Onager,True,False,1790,9,4,24,4,0,0,14,40,6,10,art_fld,45
rom_seleucid,False,Gre_Levy_Pike,True,True,450,30,4,20,4,0,0,20,35,4,60,inf_pik,45
rom_seleucid,False,Gre_Light_Cav,True,True,440,38,4,25,5,0,15,50,40,29,35,cav_mel,75
rom_seleucid,False,Gre_Light_Peltasts,True,True,460,18,4,24,4,0,0,40,50,10,40,inf_mis,50
rom_seleucid,False,Gre_Onager,True,False,1580,9,4,24,4,0,0,14,40,6,10,art_fld,45
rom_seleucid,False,Gre_Peltasts,True,True,420,18,4,24,4,0,0,40,35,10,65,inf_mis,50
rom_seleucid,False,Gre_Pike,True,True,600,34,4,24,4,0,0,30,45,7,65,inf_pik,55
rom_seleucid,False,Gre_Polybolos,True,True,620,9,4,24,4,0,0,14,35,6,10,art_fix,45
rom_seleucid,False,Gre_Royal_Peltasts,True,True,1280,62,4,38,8,0,0,49,70,21,80,inf_mel,60
rom_seleucid,True,Gre_Royal_Peltasts,True,True,1280,62,4,38,8,0,0,49,70,21,80,inf_mel,60
rom_seleucid,False,Gre_Scythed_Chariots,True,True,1380,54,4,35,5,0,0,29,65,45,90,chariot,105
rom_seleucid,True,Gre_Scythed_Chariots,True,True,1380,54,4,35,5,0,0,29,65,45,90,chariot,105
rom_seleucid,False,Gre_Shield_Bearers,True,True,1160,41,4,29,5,0,20,57,70,28,115,inf_spr,65
rom_seleucid,True,Gre_Shield_Bearers,True,True,1160,41,4,29,5,0,20,57,70,28,115,inf_spr,65
rom_seleucid,False,Gre_Silver_Shield_Pike,True,True,1280,45,4,28,4,0,0,48,70,13,100,inf_pik,60
rom_seleucid,True,Gre_Silver_Shield_Pike,True,True,1280,45,4,28,4,0,0,48,70,13,100,inf_pik,60
rom_seleucid,False,Gre_Silver_Shield_Sword,True,True,1280,43,4,40,4,0,0,67,70,27,80,inf_mel,65
rom_seleucid,True,Gre_Silver_Shield_Sword,True,True,1280,43,4,40,4,0,0,67,70,27,80,inf_mel,65
rom_seleucid,False,Gre_Skirm_Cav,True,True,340,9,4,24,4,0,0,38,35,4,15,cav_mis,70
rom_seleucid,False,Gre_Slingers,True,True,270,8,4,24,4,0,0,22,25,3,20,inf_mis,45
rom_seleucid,False,Gre_Tarantine_Cav,True,True,560,18,4,24,4,0,0,36,50,11,60,cav_mis,80
rom_seleucid,False,Gre_Thorax_Pike,True,True,740,40,4,24,4,0,0,40,55,9,70,inf_pik,55
rom_seleucid,False,Gre_Thorax_Sword,True,True,710,38,4,34,4,0,0,57,55,18,75,inf_mel,60
rom_seleucid,False,Gre_Thureos_Spears,True,True,540,24,4,25,5,0,20,55,50,26,70,inf_spr,50
rom_seleucid,False,Ind_Armour_Elephants,True,True,2100,64,4,60,30,0,0,24,60,44,30,elph,200
rom_seleucid,True,Ind_Armour_Elephants,True,True,2100,64,4,60,30,0,0,24,60,44,30,elph,200
rom_seleucid,False,Ind_War_Elephants,True,True,1500,34,4,60,30,0,0,20,40,28,30,elph,200
rom_seleucid,False,Mer_Syrian_Armoured_Elephants,True,True,1900,64,4,60,30,0,0,24,60,44,30,elph,200
rom_rome,False,Aux_Afr_Elephant,True,True,1400,54,5,60,30,0,0,21,55,36,30,elph,200
rom_rome,False,Aux_Cav,True,True,800,40,5,25,5,0,15,37,55,37,70,cav_mel,85
rom_rome,False,Aux_Ibe_Balearic_Slingers,True,True,560,10,5,24,4,0,0,38,45,4,25,inf_mis,50
rom_rome,False,Aux_Infantry,True,True,400,18,5,25,5,0,20,55,45,15,75,inf_spr,50
rom_rome,False,Aux_Ita_Socii_Equites_Extraordinarii,True,True,840,34,5,25,11,0,10,11,55,57,60,cav_shk,100
rom_rome,False,Aux_Ita_Socii_Equites,True,True,650,38,5,25,5,0,15,37,50,34,55,cav_mel,85
rom_rome,False,Aux_Ita_Socii_Extraordinarii,True,True,760,37,5,34,4,0,0,52,55,18,95,inf_mel,65
rom_rome,False,Aux_Ita_Socii_Hastati,True,True,330,28,5,34,4,0,0,47,40,14,60,inf_mel,50
rom_rome,False,Aux_Num_Cav,True,True,550,18,5,24,4,0,0,39,55,10,15,cav_mis,75
rom_rome,False,Aux_Syrian_Archers,True,True,520,10,5,24,4,0,0,13,40,4,40,inf_mis,55
rom_rome,False,Rom_Armour_Legionaries,True,True,930,58,5,35,5,0,0,51,65,15,95,inf_mel,60
rom_rome,False,Rom_Ballista,True,False,1560,9,5,24,4,0,0,14,40,6,40,art_fld,45
rom_rome,False,Rom_Beehive_Onager,True,False,1580,9,5,24,4,0,0,14,40,6,40,art_fld,45
rom_rome,False,Rom_Cheiroballistra,True,True,520,9,5,24,4,0,0,14,40,6,40,art_fld,45
rom_rome,False,Rom_Eagle_Cohort,True,True,930,47,5,35,5,0,0,60,65,12,90,inf_mel,55
rom_rome,False,Rom_Equites,True,True,500,33,5,25,5,0,15,32,40,29,70,cav_mel,75
rom_rome,False,Rom_Evocati_Cohort,True,True,880,61,5,35,5,0,0,48,65,15,90,inf_mel,60
rom_rome,False,Rom_First_Cohort,True,True,910,47,5,35,5,0,0,58,65,12,85,inf_mel,55
rom_rome,True,Rom_General,True,True,450,28,5,25,5,0,15,61,55,20,90,com,80
rom_rome,False,Rom_Giant_Ballista,True,False,730,9,5,24,4,0,0,14,40,6,40,art_fix,45
rom_rome,False,Rom_Gladiator_Spear,True,True,440,45,5,29,5,0,20,70,50,28,10,inf_spr,60
rom_rome,False,Rom_Gladiators,True,True,600,67,5,39,5,0,0,60,55,22,10,inf_mel,65
rom_rome,False,Rom_Gladiatrices_Spear,True,True,460,40,5,29,5,0,20,70,60,20,40,inf_spr,55
rom_rome,False,Rom_Gladiatrices,True,True,620,57,5,39,5,0,0,60,65,22,40,inf_mel,60
rom_rome,False,Rom_Hastati,True,True,350,35,5,35,5,0,0,45,45,12,60,inf_mel,50
rom_rome,False,Rom_Large_Onager,True,False,1790,9,5,24,4,0,0,14,40,6,40,art_fld,45
rom_rome,True,Rom_Legatus,True,True,430,28,5,25,5,0,15,61,55,20,70,com,90
rom_rome,False,Rom_Legionaries,True,True,680,47,5,35,5,0,0,48,55,14,80,inf_mel,60
rom_rome,False,Rom_Legionary_Cav,True,True,540,33,5,25,5,0,15,30,45,29,70,cav_mel,80
rom_rome,False,Rom_Legionary_Cohort,True,True,710,47,5,35,5,0,0,48,55,14,90,inf_mel,60
rom_rome,False,Rom_Leves,True,True,200,5,5,24,4,0,0,37,20,3,15,inf_mis,45
rom_rome,False,Rom_Onager,True,False,1580,9,5,24,4,0,0,14,40,6,40,art_fld,45
rom_rome,False,Rom_Polybolos,True,True,620,9,5,24,4,0,0,14,35,6,40,art_fix,45
rom_rome,False,Rom_Praetorian_Cav,True,True,1250,49,5,29,5,0,15,42,70,42,70,cav_mel,105
rom_rome,False,Rom_Praetorian_Guard,True,True,1300,65,5,39,5,0,0,55,70,19,90,inf_mel,65
rom_rome,False,Rom_Praetorians,True,True,1280,65,5,39,5,0,0,55,70,19,85,inf_mel,65
rom_rome,False,Rom_Principes,True,True,660,47,5,35,5,0,0,53,55,14,75,inf_mel,60
rom_rome,False,Rom_Triarii,True,True,800,31,5,29,5,0,20,64,65,24,95,inf_spr,65
rom_rome,False,Rom_Velites,True,True,340,8,5,24,4,0,0,37,25,3,15,inf_mis,45
rom_rome,False,Rom_Vet_Legionaries,True,True,850,59,5,35,5,0,0,48,65,15,85,inf_mel,60
rom_rome,False,Rom_Vigiles,True,True,200,13,5,25,5,0,20,54,30,11,45,inf_spr,45
rom_rome,False,Rom_War_Dogs,True,True,500,23,5,40,4,0,0,68,35,20,15,spcl,45
rom_baktria,False,Bac_Hillmen,True,True,260,28,6,26,10,0,0,36,25,10,15,inf_mel,45
rom_baktria,False,Bac_Horse_Archers,True,True,700,40,6,38,8,0,0,17,50,14,35,cav_mis,75
rom_baktria,False,Bac_Light_Horse,True,True,430,37,6,25,5,0,15,26,30,29,55,cav_mel,75
rom_baktria,False,Bac_Noble_Horse,True,True,880,42,6,29,5,0,15,42,60,36,95,cav_mel,90
rom_baktria,False,Bac_Peltasts,True,True,480,18,6,24,4,0,0,40,50,10,65,inf_mis,50
rom_baktria,False,Bac_Royal_Cav,True,True,1250,46,6,27,12,0,10,21,70,76,60,cav_shk,95
rom_baktria,True,Bac_Royal_Cav,True,True,1250,46,6,27,12,0,10,21,70,76,60,cav_shk,95
rom_baktria,False,Bac_Royal_Guard,True,True,1140,40,6,29,5,0,20,56,70,29,105,inf_spr,65
rom_baktria,True,Bac_Royal_Guard,True,True,1140,40,6,29,5,0,20,56,70,29,105,inf_spr,65
rom_baktria,False,Bac_Scale_Thorax_Hoplites,True,True,680,36,6,26,6,0,15,61,55,20,75,inf_spr,55
rom_baktria,False,Eas_Elite_Persian_Archers,True,True,530,28,6,20,5,0,30,32,40,18,10,inf_mis,50
rom_baktria,False,Eas_Horse_Archers,True,True,400,9,6,24,4,0,0,13,30,4,10,cav_mis,70
rom_baktria,False,Eas_Horse_Skirm,True,True,390,9,6,24,4,0,0,38,30,4,15,cav_mis,70
rom_baktria,False,Eas_Javelinmen,True,True,370,8,6,24,4,0,0,37,20,3,15,inf_mis,45
rom_baktria,False,Eas_Persian_Light_Archers,True,True,360,9,6,24,4,0,0,13,30,4,10,inf_mis,50
rom_baktria,False,Eas_Slingers,True,True,380,8,6,24,4,0,0,37,20,3,15,inf_mis,45
rom_baktria,False,Eas_Spear,True,True,180,13,6,25,5,0,20,34,25,11,45,inf_spr,45
rom_baktria,False,Gre_Ballista,True,False,1560,9,6,24,4,0,0,14,40,6,10,art_fld,45
rom_baktria,False,Gre_Cheiroballistra,True,True,520,9,6,24,4,0,0,14,35,6,10,art_fld,45
rom_baktria,False,Gre_Citizen_Cav,True,True,540,37,6,26,6,0,10,28,45,28,70,cav_mel,75
rom_baktria,False,Gre_Giant_Ballista,True,False,730,9,6,24,4,0,0,14,40,6,10,art_fix,45
rom_baktria,False,Gre_Hellenic_Cataphracts,True,True,1420,46,6,27,12,0,10,23,70,76,90,cav_shk,120
rom_baktria,False,Gre_Large_Onager,True,False,1790,9,6,24,4,0,0,14,40,6,10,art_fld,45
rom_baktria,False,Gre_Levy_Pike,True,True,450,30,6,20,4,0,0,20,35,4,60,inf_pik,45
rom_baktria,False,Gre_Light_Peltasts,True,True,460,18,6,24,4,0,0,40,50,10,40,inf_mis,50
rom_baktria,False,Gre_Onager,True,False,1580,9,6,24,4,0,0,14,40,6,10,art_fld,45
rom_baktria,False,Gre_Peltasts,True,True,420,18,6,24,4,0,0,40,35,10,65,inf_mis,50
rom_baktria,False,Gre_Pike,True,True,600,34,6,24,4,0,0,30,45,7,65,inf_pik,55
rom_baktria,False,Gre_Polybolos,True,True,620,9,6,24,4,0,0,14,35,6,10,art_fix,45
rom_baktria,False,Gre_Thorax_Pike,True,True,740,40,6,24,4,0,0,40,55,9,70,inf_pik,55
rom_baktria,False,Gre_Thorax_Sword,True,True,710,38,6,34,4,0,0,57,55,18,75,inf_mel,60
rom_baktria,False,Gre_Thureos_Spears,True,True,540,24,6,25,5,0,20,55,50,26,70,inf_spr,50
rom_baktria,False,Ind_Armour_Elephants,True,True,2100,64,6,60,30,0,0,24,60,44,30,elph,200
rom_baktria,True,Ind_Armour_Elephants,True,True,2100,64,6,60,30,0,0,24,60,44,30,elph,200
rom_baktria,False,Ind_War_Elephants,True,True,1500,34,6,60,30,0,0,20,40,28,30,elph,200
rom_baktria,False,Mer_Eas_Syrian_Archers,True,True,520,10,6,24,4,0,0,13,40,4,40,inf_mis,50
rom_baktria,False,Mer_Gre_Tarantine_Cav,True,True,560,18,6,24,4,0,0,36,50,11,60,cav_mis,80
rom_baktria,False,Mer_Scy_Horse_Archers,True,True,380,9,6,24,4,0,0,13,30,4,10,cav_mis,70
rom_iceni,False,Bri_Ambushers,True,True,670,32,7,25,5,15,0,62,50,32,10,inf_mel,55
